,SRR1275356,SRR1275251,SRR1275287,SRR1275364,SRR1275269,SRR1275263,SRR1275338,SRR1274117,SRR1274089,SRR1274125,SRR1275299,SRR1275277,SRR1275370,SRR1275293,SRR1275348,SRR1275245,SRR1275342,SRR1274131,SRR1275346,SRR1275241,SRR1275279,SRR1275297,SRR1275273,SRR1274121,SRR1275336,SRR1274119,SRR1274087,SRR1274113,SRR1275267,SRR1275289,SRR1275283,SRR1275360,SRR1275255,SRR1275358,SRR1275352,SRR1275265,SRR1275368,SRR1275281,SRR1275362,SRR1275257,SRR1275350,SRR1274129,SRR1274123,SRR1275334,SRR1274085,SRR1274111,SRR1275249,SRR1275344,SRR1275243,SRR1275301,SRR1275295,SRR1275271,SRR1274133,SRR1275275,SRR1275291,SRR1275247,SRR1275340,SRR1274115,SRR1274127,SRR1275354,SRR1275259,SRR1275253,SRR1275285,SRR1275366,SRR1275261
AASDH,0,101,17,2295,497,0,1,9,23,22,18,0,1,0,0,0,34,120,0,0,3,0,98,0,880,0,0,0,0,32,88,0,0,0,0,239,1,0,8,0,0,5,39,0,154,218,1,0,0,0,0,17,0,0,0,51,1,33,1039,992,0,1,16,1215,0
AASDHPPT,0,599,22,1,25,45,3681,2077,23,51,1338,25,508,200,0,0,0,432,0,17,112,124,0,131,0,271,0,97,0,267,1314,0,214,20,97,0,170,824,0,20,0,451,1998,236,2434,41,1,59,31,235,85,286,1793,1532,40,105,1,25,163,3087,547,1,1371,3276,0
AASS,231,1,3110,353,13,3491,1,25,2943,617,0,7,199,37,9730,118,3123,445,3752,0,7,14,33,5867,323,159,7,2635,47,64,246,150,128,855,4567,0,4747,1,1239,0,1528,4043,4804,1793,470,3326,1,43,2246,53,21,13,4,2572,4828,212,84,249,50,184,94,302,20,87,116
ABAT,0,1,175,1,0,0,4240,73,270,629,322,72,1,18,3151,0,1722,3,0,430,0,0,13,917,0,0,0,0,0,0,73,0,0,0,15,0,1,0,819,0,173,31,1,0,1430,124,1,7,203,0,0,28,1,1,0,0,1,1,0,0,0,1,0,1567,0
ABCA1,64,1,18,1,1046,14,1,0,0,322,13,0,1,0,0,0,0,33,1468,0,0,399,13,2588,0,1,0,1,0,0,0,4804,56,1123,0,32,247,1,0,43,60,0,0,0,0,3,1572,7,0,0,0,2,5,0,2,13821,1,0,0,0,0,120,2324,1,4498
ABCA11P,0,1,25,1,0,0,1,0,2,5,40,0,1,0,0,0,0,0,0,1948,298,0,0,0,0,22,32,10,99,0,0,0,0,0,0,0,1,5,0,0,0,0,630,51,9,55,1,0,0,0,0,0,0,0,0,0,1,0,16,0,0,1,0,176,0
ABCA5,0,1,0,1,0,0,1,0,60,68,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,20,16,13,0,0,0,0,0,0,833,0,1,0,8,0,0,9,9,0,2,54,1,0,168,0,7,2,478,0,0,0,1,0,152,0,0,1,0,1,260
ABCB7,0,1,4,1,0,0,10146,178,0,21,0,2,1,88,10,0,0,0,21,989,0,0,0,0,278,103,21,0,0,0,0,8079,0,20,4,0,1,0,0,0,0,0,9,0,1205,0,1,491,0,0,0,0,0,1,0,0,1,41,0,0,0,1,6,1,0
ABCC5,1807,1,0,1,11,0,1,22,314,0,0,103,1,0,0,37,76,0,0,0,1,0,2111,6,62,8,1301,6,0,0,495,0,0,10,0,0,1,40,8,0,0,7,3,0,0,7,1,0,0,0,0,159,0,0,1,7,1,2,0,46,112,1,504,1,22
ABCC9,677,101,57,623,26,72,1,7,9,13,110,121,586,67,50,356,202,6,448,53,275,268,96,19,727,10,2,25,359,175,71,389,185,26,161,239,401,13,21,270,226,10,1,891,6,25,340,184,181,129,95,117,50,81,117,52,440,22,20,382,50,656,58,301,322
ABCD3,0,1,223,1,0,0,1,0,1,0,198,0,1,0,0,0,134,7,142,0,0,0,0,42,0,144,29,10,0,0,0,0,0,0,0,933,1,0,0,0,0,5,360,0,0,0,1,0,420,0,0,8,3,0,3,70,1,0,4,0,0,1,0,1,0
ABCD4,0,1,1020,1,0,64,1,50,2737,0,1998,1290,1,0,0,0,0,198,0,0,38,0,45,506,0,0,19,0,15,0,0,0,0,32,35,0,1,29,0,0,45,2,2737,115,0,860,1,0,0,0,0,0,2,761,0,67,1,0,1,484,0,1,6,1,0
ABCE1,0,1,2572,1,2652,0,496,678,3,0,53,2,82,0,709,1753,0,175,86,0,2712,125,91,0,0,772,4722,454,0,0,310,0,0,0,81,194,1,43,0,0,2771,53,2,0,635,0,68,0,196,0,798,5280,1191,4428,0,0,1,185,0,0,0,1,122,1,527
ABCF2,0,1,7,158,0,0,1,5,27,25,0,8,1,0,0,0,103,2143,0,17,62,14,46,9,0,0,0,13,0,0,1,0,0,0,0,0,218,2,0,0,0,7,3668,167,0,383,1,0,0,0,0,179,113,0,0,0,2721,1,0,0,0,1,0,1,0
ABHD10,0,1,2780,1,0,0,1,0,1692,979,7,0,1,0,300,0,0,2,0,0,0,206,705,1,127,0,0,1044,0,26,0,0,0,944,0,0,295,0,0,0,0,186,3469,528,344,0,1,810,0,0,0,2,163,0,17,6,1,0,32,0,0,1,0,1,0
ABHD11,0,1,0,1,0,0,1,0,39,0,0,0,1,0,470,0,0,0,0,67,0,0,0,0,0,0,38,51,62,0,3,0,0,0,0,0,1,0,0,312,0,0,0,0,0,2,1,0,0,0,109,0,0,20,101,0,1,0,424,0,0,1,0,1,0
ABHD2,64,1,4,1,0,216,1,0,0,2,46,46,1,0,21,0,34,15,0,17,0,153,73,0,62,1,0,0,145,8,0,121,172,282,0,0,1,271,0,20,0,0,5,0,0,2,1,0,288,0,0,56,1,0,1,0,1,0,0,0,0,1,0,1,0
ABHD4,0,1,50,1,0,0,1,0,0,229,0,0,1,686,142,0,0,1,0,114,0,0,0,0,0,0,10,2,0,0,1,0,0,937,0,0,1,0,298,0,0,5,0,0,1536,125,1,7,0,0,0,2,16,0,1308,0,1,544,0,0,0,1,3,1,0
ABI1,0,1,93,1,192,616,1,0,0,0,0,0,1,592,480,0,159,0,0,0,56,0,4,1,0,0,826,0,0,201,0,0,381,144,0,0,860,300,0,0,0,0,4,0,0,0,363,7,212,0,0,953,41,0,24,0,1,0,0,0,0,1,9,1,22
ABI2,64,1032,15,3082,132,48,331,157,760,3668,165,77,1,113,0,2603,0,3069,0,887,1301,158,9,174,7436,67,685,0,2823,478,2127,0,33,10,60,0,568,1115,0,126,0,3931,483,3737,84,60,1,44,71,0,18,109,178,81,23,104,1,0,5,427,50,1298,52,673,86
ABL1,64,1,4,1,89,65,1,1,0,0,13,203,1,0,0,0,34,0,157,0,0,0,0,0,0,0,710,0,0,0,4,0,988,230,0,450,256,0,0,20,81,0,1,0,0,0,1,34,0,2026,0,0,41,0,30,314,1,0,4,1132,0,1,696,1,0
ABL2,0,1,15,1,0,91,1,0,9,1,21,2,1,0,0,373,0,3,71,50,7,188,0,1,802,0,0,0,0,0,21,0,0,0,4,484,218,1324,0,0,222,2,0,0,0,3,1,0,492,0,98,11,0,0,0,18,1,2,0,0,78,1,34,126,0
ABLIM1,0,1,0,1,0,14,1,0,0,0,7342,0,1,0,0,0,0,6,0,0,19,14,9,2,0,0,37,0,15,3375,170,0,0,0,0,519,89,3414,0,0,14,0,0,0,0,4,1,7,0,0,136,1284,3,0,0,5650,1,0,0,46,0,1,6213,1,0
ABRACL,64,220,0,158,86,72,1,442,304,22,308,2,1,1126,0,1229,0,50,0,78,0,0,37,49,0,88,213,122,0,301,27,0,0,0,0,83,131,3,8,0,0,328,353,0,160,6,1,0,0,82,0,139,16,41,4,0,124,835,15,453,0,1,0,1,321
ABT1,0,1,0,2753,0,0,1,0,16,465,0,0,1,537,6,0,0,32,0,201,0,188,0,200,382,0,0,174,117,0,0,0,0,1115,0,0,1,1998,0,0,1897,0,2823,0,34,0,1,410,72,0,0,0,124,0,553,27,1,150,333,0,0,1,100,1,278
ACAA2,64,1,298,1,1757,0,1,2,1,328,0,5,1,45,0,0,0,130,0,1656,1,24,27,2,0,448,49,480,15,8,1,0,33,0,0,32,1,1,3069,8442,760,0,288,0,153,332,1,261,12,14,21,10,2,1,1,41,1,1314,11,0,0,120,3,1,5353
ACAD10,0,1,0,518,0,49,1,0,0,0,0,0,1,0,0,73,0,0,0,0,0,0,0,0,203,0,1,0,62,0,0,1223,1127,0,0,0,1,65,0,0,339,0,2,829,0,0,68,0,0,0,0,31,9,0,0,0,1,0,32,0,50,1,16,1,108
ACAD8,0,1,0,1,0,0,1,0,0,1782,0,0,1,0,0,0,0,14,0,0,0,0,0,2511,0,10,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,204,155,0,0,0,1,0,44,0,0,0,111,0,0,0,1,0,13,0,358,1,0,1,0
ACADM,0,1,0,158,47,0,2712,17,114,19,0,0,709,0,6,0,0,1865,39,708,33,0,117,562,0,6,2771,172,431,347,1859,36,33,10,13,296,1,4,0,62,0,463,392,0,72,809,1,1023,27,14,959,225,0,90,0,0,1,160,126,0,0,1,313,1,1067
ACADVL,0,254,0,1,0,65,153,0,0,0,0,56,1,0,0,0,0,106,0,0,19,0,0,1,4260,0,12,0,31,0,0,36,104,80,0,19,1,0,91,107,0,0,17,0,9,672,1,0,0,0,0,0,0,16,0,0,1,1,1468,0,0,1,558,1,82
ACAP2,0,1,12,322,0,122,1,930,56,0,0,576,1,81,34,0,34,7,0,133,3,44,701,13,0,7,1353,24,515,0,68,2324,0,29,13,0,131,2,48,0,0,0,3,0,0,3,197,739,39,32,0,75,20,2,1029,201,315,0,398,46,0,1498,11,1,0
ACAP3,0,1,0,353,0,0,1,0,0,0,0,6,882,89,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,8,0,0,47,0,91,1,8,21,0,0,0,0,0,0,0,1,0,25,0,93,0,0,14,0,7,1,0,0,0,0,1,0,1,0
ACAT1,0,1,15,1,7,0,1,10,6,2083,13,26,150,0,6,0,0,0,0,532,93,235,866,0,270,2198,55,0,268,66,4,0,0,0,0,350,1,1398,3579,0,14,0,43,0,126,15,1,0,0,706,1604,2,0,20,27,0,1,0,95,46,0,1,183,1,0
ACAT2,64,1262,0,1,923,283,2010,1560,0,993,0,2,1,0,4544,0,0,134,130,4955,342,0,0,73,172,2172,1383,621,750,0,0,3651,759,0,4121,19,170,267,0,0,14,84,34,1868,1057,536,68,888,3448,0,133,101,14,101,134,132,84,17,1271,0,160,1,0,99,0
ACBD3,0,802,0,1,2,298,1,0,242,0,0,570,1,55,10,0,0,2,573,0,0,0,13,0,0,1,0,2,152,8,290,36,114,115,0,0,1,1,0,158,0,0,8,0,0,0,1,0,0,212,0,163,0,0,0,0,1,0,0,0,0,1,0,1,0
ACBD5,0,1,0,1,68,0,235,23,57,0,0,110,1,0,0,0,339,451,0,17,1,0,0,0,0,1,80,63,0,8,1,0,82,0,0,0,1,0,0,62,140,0,0,0,0,0,140,1015,0,0,82,0,13,0,0,0,1,0,1,0,0,1,0,1,86
ACBD6,0,1,439,158,7,14,1000,122,239,145,109,190,1,0,0,0,0,769,0,0,462,28,139,5,0,28,5,34,0,0,80,251,0,0,0,734,1,5,0,0,0,433,0,0,42,529,273,0,0,0,743,0,96,0,13,0,156,0,288,0,0,621,0,1,0
ACBD7,0,1,0,1,60,0,1,58,0,33,0,0,1,0,0,0,0,1,0,0,0,0,0,334,0,0,7,627,0,0,0,0,0,0,0,0,1,0,47,0,794,0,1797,0,0,2,68,0,0,0,0,0,84,0,0,0,1,0,15,0,0,1,0,1,0
ACD,64,1,0,1,31,0,943,0,20,0,26,4,1,18,0,0,0,0,0,77,0,14,0,0,0,59,0,0,0,0,14,112,0,0,140,0,1,4,8,0,0,0,0,0,0,0,1,0,973,0,479,0,0,172,0,0,1,76,0,0,0,1,0,1,0
ACER3,129,1,0,534,58,46,126,89,2565,0,0,136,1,153,147,37,0,905,54,0,6,40,119,105,62,0,0,107,0,19,0,0,0,20,77,83,131,376,0,188,14,0,0,0,188,0,312,0,0,0,253,98,0,3,25,27,84,654,5,0,0,1,12,65,0
ACIN1,129,1,14,616,84,0,1,3,3,29,19,29,1,0,0,428,0,87,0,0,1,57,4,2,0,3,79,5,0,0,7,459,126,0,44,2459,1,17,0,695,565,156,300,0,0,47,1618,7,19,1335,46,115,286,13,49,60,84,86,10,664,0,1,177,2681,0
ACLY,0,3539,1473,1,1626,987,153,274,616,31,1125,4,300,228,105,82,0,114,153,0,42,96,76,1684,172,471,2712,1,2295,0,1027,0,2797,1351,0,4671,1,2345,640,118,0,5,529,0,492,33,68,2274,27,0,14,24,260,142,5,0,1,1162,361,0,490,198,3,99,5818
ACO2,0,1948,0,1,1640,0,258,0,0,0,0,0,1,0,0,0,0,0,121,0,22,188,0,0,328,0,24,0,2045,0,196,4933,0,157,51,0,1,352,0,62,38,0,64,0,0,0,1,0,0,0,0,22,0,0,0,91,1086,210,0,0,2987,1,70,1,0
ACOT13,0,101,4,1,148,109,1193,27,244,11,696,248,1,1116,27,0,0,0,354,337,0,0,69,7,0,16,416,49,0,0,0,0,3697,0,15,250,1,0,0,0,0,0,0,0,11,0,68,891,0,0,7,0,231,0,16,4,1,214,137,46,0,120,6,1,0
ACOT7,0,401,69,1,0,0,1,0,450,108,137,681,1,629,0,37,0,970,0,0,662,221,396,0,0,204,83,0,0,0,437,0,0,29,4,32,1,196,96,0,0,2,0,72,160,7,1,61,1437,137,71,224,854,0,0,0,1,133,760,0,214,1,24,1,50
ACOT8,0,1,0,1,59,195,2254,0,0,0,0,0,82,0,0,0,0,0,2453,17,654,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,8,148,14,0,0,0,0,0,1,700,0,0,35,55,0,0,0,44,1,0,0,0,0,1,15,1,0
ACOX1,323,1,12,158,143,93,1,43,1,0,340,192,1,128,14,0,270,0,0,570,415,0,6764,27,1196,0,0,59,15,32,226,0,231,0,193,161,1,23,184,118,27,0,2,51,118,29,1,21,117,0,284,11,1,6,1,533,124,0,0,0,0,640,33,1,177
ACOX3,0,1,28,1,0,111,1,0,0,0,608,0,1,0,0,0,0,0,54,456,0,0,0,0,0,1,0,1,0,0,35,0,728,0,0,0,1,8,0,0,0,0,0,0,0,10,1,0,0,787,0,0,0,11,29,0,124,0,0,46,0,1,0,1,0
ACP1,0,1,2753,1,0,321,1,3607,1626,168,3082,1174,1,528,116,37,58,645,39,615,317,134,13,2,62,345,612,3,0,3175,691,2058,0,10,34,40,1032,18,21,0,2652,535,384,0,477,4062,1,3276,1998,1233,23,69,98,523,96,480,84,1862,3087,93,0,1,1923,1,582
ACSL3,0,1,17,1,418,0,2177,246,3,32,0,0,300,0,0,37,0,4,2961,0,628,0,179,2565,0,56,0,105,144,8,1087,0,555,0,30,161,1,271,0,153,0,2,15,0,0,0,1,0,80,0,0,2,29,2,91,2,1,152,124,0,2871,371,6,1,0
ACSL4,0,1,0,1,0,0,1,186,1,547,3709,2,1,673,10,0,0,0,0,0,1611,0,99,5,0,852,338,1,41,19,18,0,1313,0,0,100,1,0,0,515,0,0,132,0,45,0,1,14,0,0,87,0,15,6,0,0,1,0,1,0,0,1,0,1,22
ACTB,18687,30589,18687,17611,36843,23163,36843,9730,12676,9230,17611,14335,9230,14848,17611,17611,36843,6382,26400,30589,7150,10146,11070,5650,4452,18687,36843,6213,9550,7342,16512,13821,20729,20729,18687,26400,30589,11070,14335,23163,8773,6569,14335,10572,9929,18687,13821,14335,16512,11374,11374,11681,5466,18687,8377,13227,7987,12356,7987,12356,20729,14335,14848,16512,14848
ACTG1,5396,4853,3668,1571,23163,13227,4544,6020,6117,6382,8312,6764,3346,7069,23163,3099,13821,4955,9730,5246,8079,2971,12676,4594,9730,10848,23163,6515,17611,1874,7663,16512,13821,8606,8079,6968,1,5978,12676,8079,13227,4722,9091,7150,9386,12676,8312,6213,18687,9550,6700,2207,6117,7663,4113,3396,10360,13227,13227,1025,13227,893,8606,9929,4933
ACTL6A,0,1,909,1,154,50,1,4,2,4,0,979,368,0,32,0,0,182,1957,0,6,0,0,153,0,15,63,13,15,19,430,0,522,0,0,210,247,0,2588,0,0,2,5213,0,222,143,103,883,0,0,0,64,1516,1117,254,106,84,4024,1509,0,0,1,3,1,0
ACTN1,0,1,4,1,58,221,1,31,0,29,94,0,1,0,1231,0,0,177,0,109,0,0,0,17,0,0,1,6,0,0,2,36,0,1820,97,0,1,0,0,1006,0,0,164,0,0,2,1,7,0,0,0,0,94,0,0,89,84,887,4,46,0,1,0,1,363
ACTN4,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,234,15,0,0,0,0,0,35,0,0,64,451,0,8,0,84,0,56,0,19,1,16,0,0,56,2,87,0,0,0,628,0,0,0,530,0,5,0,0,465,370,0,0,46,0,1,0,1,127
ACTR10,0,1,612,1,42,0,989,0,0,0,509,79,1092,18,6,335,0,1380,0,35,4,0,1258,1,0,167,24,0,31,0,633,36,163,0,129,0,1,98,8,3668,27,541,2971,220,1377,0,68,75,0,0,1641,78,54,737,46,4,821,10,568,0,350,1,627,1,522
ACTR1A,64,663,53,1018,900,1780,1,12,105,151,1295,109,1,787,35,108,0,0,0,1346,118,24,0,84,679,0,216,6,31,8,0,68,33,0,0,19,89,225,0,0,675,0,31,450,2,0,1,0,0,2474,7,51,21,145,376,2,197,26,21,0,0,1,445,1,601
ACTR2,0,2221,313,1,9,633,620,12,995,315,0,817,1,18,845,0,0,1403,21,27,0,297,117,2712,1772,363,2,528,15,122,2813,0,33,2210,4,32,1,839,8,2062,14,1536,317,0,524,170,1304,27,0,2441,7,439,701,1852,287,2299,1,37,7,93,0,1,168,1,50
ACTR3,588,1,598,5507,247,477,1,3,23,10,2789,18,806,122,1645,82,0,11,39,3459,10,503,0,2,0,205,4522,353,7069,293,0,223,2216,0,258,2280,1,8,26,1563,448,0,15,51,2884,99,1,1070,366,1720,62,835,0,403,0,0,1,0,682,0,0,120,2058,151,634
ACTR3B,0,1,0,1,29,176,1,1,1,0,0,561,1,0,675,0,635,38,303,0,0,0,9,0,0,253,1,9,0,59,41,0,0,10,34,19,290,133,320,0,647,0,4,0,0,4,1,62,1608,0,43,7,0,4,0,0,1,0,0,46,0,1,98,281,0
ACTR6,64,1,0,1,0,0,1,11,119,101,1550,101,550,142,12,0,0,109,0,2317,1,0,162,45,0,33,2,1,0,8,0,0,0,2617,0,222,1,564,0,0,0,5,199,0,118,0,1,7,0,0,0,51,379,1,0,19,1,14,0,46,0,1,76,1,0
ACVR1B,0,1,302,1,0,0,1,0,0,0,0,9,1,0,0,37,0,0,0,0,0,0,1278,23,0,3,1,0,0,0,0,0,1600,163,0,51,1,57,0,43,14,5,0,0,0,14,1,0,0,0,90,0,50,0,0,0,1,761,0,46,0,1,22,1,0
ACVR2A,64,1,2288,1,0,0,175,438,1,652,112,5428,1,4567,0,2373,0,20,0,0,3891,1275,2830,207,298,0,18,0,15,0,1473,380,836,2067,4,32,1,218,635,20,14,1478,0,0,2,2,1,898,0,187,179,275,6020,2507,74,5818,308,0,69,1111,248,1,1224,1187,0
ACVR2B,0,1,4,1,0,0,783,404,3046,933,0,0,1,0,0,0,0,309,134,0,296,0,0,68,62,143,1488,1,574,0,1,0,0,10,16,0,1,1,88,20,0,525,19,0,21,629,1,513,44,32,27,1200,36,426,0,0,577,10,53,46,0,1,0,65,0
ACYP1,0,1,0,1,27,0,1,291,297,98,0,6,1,72,0,253,0,33,65,140,92,54,165,0,0,5,2,359,0,66,338,0,0,0,4,19,1,6,0,0,0,0,6,1154,44,49,1,411,0,48,0,139,12,13,159,0,1,1,0,0,0,1,0,1,0
ACYP2,0,1,0,1,2,0,235,574,0,0,0,0,1,0,43,0,0,0,0,0,0,14,101,0,62,0,0,0,0,8,0,0,0,0,0,0,2284,5,0,0,0,0,0,0,0,0,1211,7,0,14,0,14,0,7,0,2,1,0,0,0,0,1,135,207,0
ADAL,0,1,17,1,0,0,1,0,1,1,0,0,1,0,0,0,287,57,0,0,0,0,0,0,0,3,768,3,0,0,0,0,0,0,13,113,1,0,0,0,0,231,932,0,0,0,1,0,0,0,1432,0,7,82,0,0,1,0,15,0,50,1,930,1,209
ADAM10,0,254,261,1,263,14,1401,77,387,135,0,346,1,0,498,0,1186,2753,913,1067,24,0,944,1,2744,693,197,25,993,135,1273,0,70,0,0,0,1,12,0,43,14,31,1493,0,1076,0,458,236,0,0,596,56,365,19,259,1872,1305,1,23,0,0,1,305,1,0
ADAM17,333,1,1335,158,1220,1240,166,16,73,80,1088,125,1,1386,218,37,2149,229,185,204,136,91,331,134,409,698,390,621,985,0,0,506,191,487,212,568,956,38,377,0,358,281,591,141,43,181,246,72,45,741,2658,116,2121,93,36,302,1,22,1082,672,661,241,211,367,696
ADAM19,0,1,0,1,73,0,1,186,0,48,390,0,1,0,0,0,0,257,0,514,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,56,1,0,0,43,0,0,0,257,4,133,68,0,0,0,0,0,181,0,171,41,300,0,46,0,0,1,0,1,0
ADAM23,0,1,4,1,30,0,1,0,11,0,0,0,1,0,0,60,228,3,0,0,1,38,13,22,0,23,18,16,0,0,0,0,7987,0,0,0,1,5,55,0,0,15,19,1606,3,0,1,0,29,0,96,2,1,5,0,0,1,5,0,0,0,198,15,1,50
ADAM9,306,1,268,1,12,3931,1,0,53,0,0,20,1,0,2167,0,0,0,128,0,642,14,13,1,0,0,0,313,15,8,93,36,33,20,0,0,1211,27,0,0,3353,0,0,872,0,46,1,0,443,0,0,0,0,14,429,2,1,0,0,46,0,1,3,270,783
ADAR,430,177,485,158,1420,14,815,3,3,8,1905,6569,182,40,576,37,380,72,178,3593,6,965,2237,12,1073,98,474,249,834,313,491,36,139,799,283,74,523,91,0,95,51,10,1444,0,648,4,68,14,226,14,394,0,24,3301,1320,63,334,129,141,46,189,1,68,1,0
ADAT1,0,1,4,1,78,0,1,0,0,0,0,0,82,0,0,320,0,0,0,0,0,94,9,0,0,0,0,0,131,3433,0,0,0,1628,0,0,1,0,0,339,0,57,0,198,0,0,1,18,0,0,0,2,0,0,1,0,460,8,0,0,0,1,0,1,0
ADAT2,0,1,0,1,4,981,1,918,2,1797,773,0,1,341,0,0,0,1,0,0,0,0,0,150,0,1,76,371,15,0,1660,0,0,0,4,0,350,70,0,0,0,4544,1,0,0,546,1,0,0,0,0,20,1,0,0,6,1,168,2,0,0,1,0,1,0
ADCY1,129,177,18,1,0,0,1,0,70,0,2489,25,1,6515,0,252,0,0,0,1022,3668,615,101,2,0,0,3,2,91,8,38,0,70,0,4,0,1,6316,0,153,14,2,3,3110,0,3,1,27,99,4410,2971,91,0,11,0,104,1,0,5,46,413,1,525,1,135
ADCY3,0,1,124,1,0,0,126,0,11,0,69,11,1,124,0,0,0,0,0,417,1,0,23,184,62,63,0,8,0,0,0,0,0,287,89,19,1,3,481,0,0,0,0,1435,110,0,1,900,202,185,0,0,0,7,0,0,1,3,0,0,0,1,0,1,0
ADCYAP1R1,0,1,0,1,0,0,1,0,0,63,686,0,1,0,208,0,1787,0,0,112,37,0,4,0,0,0,0,0,0,0,2,36,0,0,27,19,1,0,0,20,194,0,0,0,0,0,1,0,550,0,1473,0,0,32,0,0,193,0,0,0,0,1,2339,475,0
ADD1,0,1,83,667,121,0,545,3,12,55,7,356,497,26,57,0,0,115,0,711,3,302,0,11,0,41,0,302,342,8,2246,2776,33,176,243,1523,1447,14,49,0,198,9,0,0,608,415,300,230,0,52,262,506,0,78,453,97,1251,410,11,0,3408,4321,12,2101,58
ADD2,0,1,19,1,299,14,5353,0,0,18,0,25,1,0,0,574,0,0,0,27,5,0,85,44,0,1,36,25,15,372,20,0,0,0,448,91,1,28,0,306,0,2,0,0,10,0,1,0,0,0,463,1229,0,72,0,0,1,9,27,0,0,1,130,1,22
ADD3,0,1,0,1,0,14,1,31,492,1371,0,2,1,0,0,0,0,69,21,852,11,0,50,1892,0,1,657,3026,15,8,0,0,122,0,0,828,1,0,0,118,14,22,136,0,96,3,1,0,0,0,7,0,154,0,1007,129,1,25,279,1774,173,1,0,1,156
